Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
LW7,eaves_height,3.66,10.47,6.54,6.6,1.49,5.68,7.4,5.75,7.06,
LW7,number_roof_surfaces,2,8,3.07,2.0,1.82,2.02,4.12,2.0,4.0,
LW7,roof_slope,33.35,81.6,43.97,39.81,12.47,36.77,51.17,37.69,46.49,
LW7,roof_type,,,,,,,,,,3100: 100.0%
LW7,development_type_code,,,,,,,,,,A11: 91.67%
LW7,development_type_code,,,,,,,,,,B12: 8.33%
LWS1,building_footprint,35.03,371.57,153.4,138.41,66.15,138.87,167.94,124.45,147.87,
LWS1,storeys_above_ground,1,4,2.06,2.0,0.33,1.99,2.13,2.0,2.0,
LWS1,length_footprint,6.04,41.53,17.35,16.2,6.71,15.88,18.83,14.98,17.79,
LWS1,width_footprint,6.06,40.91,19.7,18.84,6.95,18.18,21.23,16.96,20.33,
LWS1,roof_ridge_height,3.18,12.77,9.49,9.4,1.45,9.17,9.81,9.2,9.71,
LWS1,eaves_height,3.18,9.5,6.24,6.0,1.25,5.97,6.52,5.85,6.41,
LWS1,number_roof_surfaces,1,14,3.94,3.0,2.64,3.36,4.52,2.0,4.0,
LWS1,roof_slope,35.57,90.0,43.86,41.26,9.6,41.75,45.97,40.19,42.34,
LWS1,roof_type,,,,,,,,,,3100: 82.93%
LWS1,roof_type,,,,,,,,,,3300: 10.98%
LWS1,roof_type,,,,,,,,,,5000: 3.66%
LWS1,roof_type,,,,,,,,,,3200: 1.22%
LWS1,roof_type,,,,,,,,,,1000: 1.22%
LWS1,development_type_code,,,,,,,,,,A11: 58.14%
LWS1,development_type_code,,,,,,,,,,A12: 20.93%
LWS1,development_type_code,,,,,,,,,,A13: 11.63%
LWS1,development_type_code,,,,,,,,,,C11: 6.98%
LWS1,development_type_code,,,,,,,,,,B12: 2.33%
LWS2,building_footprint,35.84,863.87,178.81,154.66,112.25,162.53,195.09,140.91,166.55,
LWS2,storeys_above_ground,1,3,1.98,2.0,0.34,1.93,2.03,2.0,2.0,
LWS2,length_footprint,5.4,60.04,19.8,18.64,7.44,18.72,20.88,17.46,19.93,
LWS2,width_footprint,5.55,42.37,20.26,18.58,7.67,19.15,21.38,17.37,20.6,
LWS2,roof_ridge_height,2.81,15.14,9.5,9.5,1.94,9.21,9.78,9.28,9.72,
LWS2,eaves_height,2.81,10.7,6.2,6.13,1.43,6.0,6.41,5.85,6.26,
LWS2,number_roof_surfaces,1,38,4.76,3.0,4.64,4.09,5.44,3.0,4.0,
LWS2,roof_slope,32.75,90.0,49.82,46.21,13.29,47.89,51.75,45.14,47.37,
LWS2,roof_type,,,,,,,,,,3100: 77.3%
LWS2,roof_type,,,,,,,,,,3300: 10.81%
LWS2,roof_type,,,,,,,,,,5000: 5.41%
LWS2,roof_type,,,,,,,,,,3200: 3.24%
LWS2,roof_type,,,,,,,,,,1000: 1.62%
LWS2,roof_type,,,,,,,,,,2100: 1.08%
LWS2,roof_type,,,,,,,,,,3500: 0.54%
LWS2,development_type_code,,,,,,,,,,A11: 59.17%
LWS2,development_type_code,,,,,,,,,,A13: 18.33%
LWS2,development_type_code,,,,,,,,,,A12: 17.5%
LWS2,development_type_code,,,,,,,,,,C11: 1.67%
LWS2,development_type_code,,,,,,,,,,B11: 1.67%
LWS2,development_type_code,,,,,,,,,,C12: 0.83%
LWS2,development_type_code,,,,,,,,,,B12: 0.83%
LWS3,building_footprint,83.17,151.24,112.02,101.66,35.2,83.17,151.24,83.17,151.24,
LWS3,storeys_above_ground,1,2,1.67,2.0,0.58,1,2,1.0,2.0,
LWS3,length_footprint,10.32,16.38,13.72,14.45,3.09,10.32,16.38,10.32,16.38,
LWS3,width_footprint,7.89,15.81,12.27,13.11,4.02,7.89,15.81,7.89,15.81,
LWS3,roof_ridge_height,6.3,11.69,8.78,8.36,2.72,6.3,11.69,6.3,11.69,
LWS3,eaves_height,3.61,7.53,5.69,5.91,1.97,3.61,7.53,3.61,7.53,
LWS3,number_roof_surfaces,2,7,4.67,5.0,2.52,2,7,2.0,7.0,
LWS3,roof_slope,47.48,55.88,51.09,49.92,4.32,47.48,55.88,47.48,55.88,
LWS3,roof_type,,,,,,,,,,3100: 66.67%
LWS3,roof_type,,,,,,,,,,5000: 33.33%
LWS3,development_type_code,,,,,,,,,,A12: 66.67%
LWS3,development_type_code,,,,,,,,,,A13: 33.33%
