Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
LWS3,roof_ridge_height,6.3,11.69,9.55,10.67,2.86,6.3,11.69,6.3,11.69,
LWS3,eaves_height,3.61,7.79,5.71,5.73,2.09,3.61,7.79,3.61,7.79,
LWS3,number_roof_surfaces,3,7,5.0,5.0,2.0,3,7,3.0,7.0,
LWS3,roof_slope,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,
LWS3,roof_type,,,,,,,,,,3200: 33.33%
LWS3,roof_type,,,,,,,,,,5000: 33.33%
LWS3,roof_type,,,,,,,,,,3100: 33.33%
LWS3,development_type_code,,,,,,,,,,A12: 66.67%
LWS3,development_type_code,,,,,,,,,,A13: 33.33%
ME2,building_footprint,29.0,1809.39,320.12,248.13,282.68,251.69,388.54,207.98,294.31,
ME2,storeys_above_ground,1,3,2.09,2.0,0.41,1.99,2.19,2.0,2.0,
ME2,length_footprint,5.04,47.11,17.31,15.94,7.21,15.56,19.05,14.85,17.74,
ME2,width_footprint,5.76,47.39,16.77,15.45,6.96,15.08,18.45,13.69,17.09,
ME2,roof_ridge_height,3.25,18.15,10.29,10.5,2.65,9.65,10.94,9.74,11.07,
ME2,eaves_height,1.76,12.6,6.87,6.95,2.17,6.35,7.4,6.48,7.46,
ME2,number_roof_surfaces,1,32,5.87,4.0,5.36,4.57,7.17,4.0,6.0,
ME2,roof_slope,0.0,90.0,64.87,63.71,26.74,47.87,81.86,53.42,90.0,
ME2,roof_type,,,,,,,,,,3100: 52.94%
ME2,roof_type,,,,,,,,,,3300: 19.12%
ME2,roof_type,,,,,,,,,,3200: 17.65%
ME2,roof_type,,,,,,,,,,1000: 2.94%
ME2,roof_type,,,,,,,,,,5000: 2.94%
ME2,roof_type,,,,,,,,,,2100: 1.47%
ME2,roof_type,,,,,,,,,,3400: 1.47%
ME2,roof_type,,,,,,,,,,3500: 1.47%
ME2,development_type_code,,,,,,,,,,A11: 32.76%
ME2,development_type_code,,,,,,,,,,A12: 29.31%
ME2,development_type_code,,,,,,,,,,A13: 27.59%
ME2,development_type_code,,,,,,,,,,C11: 5.17%
ME2,development_type_code,,,,,,,,,,B11: 5.17%
ME3,building_footprint,18.53,2755.45,349.59,320.26,166.09,343.5,355.68,314.85,326.64,
ME3,storeys_above_ground,0,6,2.68,3.0,0.75,2.65,2.71,3.0,3.0,
ME3,length_footprint,3.74,55.77,18.33,17.93,4.37,18.17,18.49,17.77,18.11,
ME3,width_footprint,3.66,58.89,18.25,17.95,4.29,18.09,18.41,17.79,18.14,
ME3,roof_ridge_height,2.15,27.47,13.84,13.7,3.24,13.73,13.96,13.59,13.84,
ME3,eaves_height,0.86,23.91,10.25,10.18,2.96,10.14,10.36,10.1,10.29,
ME3,number_roof_surfaces,1,81,8.16,7.0,5.06,7.98,8.35,7.0,7.0,
ME3,roof_slope,0.0,90.0,58.96,66.36,32.76,57.09,60.83,64.07,70.22,
ME3,roof_type,,,,,,,,,,3200: 46.55%
ME3,roof_type,,,,,,,,,,3400: 23.71%
ME3,roof_type,,,,,,,,,,3100: 18.5%
ME3,roof_type,,,,,,,,,,3500: 4.34%
ME3,roof_type,,,,,,,,,,1000: 2.38%
ME3,roof_type,,,,,,,,,,3300: 2.13%
ME3,roof_type,,,,,,,,,,5000: 2.06%
ME3,roof_type,,,,,,,,,,2100: 0.28%
