Category,Metric,Min,Max,Mean,Median,Std Dev,CI Mean Low,CI Mean High,CI Median Low,CI Median High,Additional Info
7,width_footprint,4.87,101.71,16.93,14.83,8.0,16.67,17.19,14.58,15.09,
7,roof_ridge_height,1.49,32.74,11.87,10.5,4.32,11.73,12.0,10.38,10.66,
7,eaves_height,1.31,27.09,8.57,7.18,4.2,8.43,8.7,7.04,7.3,
7,number_roof_surfaces,1,329,5.11,4.0,8.11,4.85,5.37,4.0,4.0,
7,roof_slope,0.0,90.0,42.49,49.22,36.48,40.25,44.74,46.16,52.51,
7,roof_type,,,,,,,,,,3100: 40.1%
7,roof_type,,,,,,,,,,1000: 17.6%
7,roof_type,,,,,,,,,,3200: 17.3%
7,roof_type,,,,,,,,,,3400: 11.3%
7,roof_type,,,,,,,,,,3500: 6.05%
7,roof_type,,,,,,,,,,5000: 3.38%
7,roof_type,,,,,,,,,,3300: 2.97%
7,roof_type,,,,,,,,,,3900: 0.82%
7,roof_type,,,,,,,,,,2100: 0.38%
7,roof_type,,,,,,,,,,2500: 0.05%
7,roof_type,,,,,,,,,,3700: 0.03%
7,roof_type,,,,,,,,,,3800: 0.03%
7,development_type_code,,,,,,,,,,A12: 37.55%
7,development_type_code,,,,,,,,,,A13: 33.66%
7,development_type_code,,,,,,,,,,B12: 8.68%
7,development_type_code,,,,,,,,,,B11: 7.93%
7,development_type_code,,,,,,,,,,C11: 7.64%
7,development_type_code,,,,,,,,,,A11: 2.29%
7,development_type_code,,,,,,,,,,C12: 1.51%
7,development_type_code,,,,,,,,,,B13: 0.41%
7,development_type_code,,,,,,,,,,B14: 0.32%
EE,building_footprint,14.61,937.35,175.62,164.21,78.91,172.86,178.37,162.0,166.52,
EE,storeys_above_ground,1,5,1.78,2.0,0.46,1.76,1.79,2.0,2.0,
EE,length_footprint,3.0,31.82,13.06,12.9,3.05,12.95,13.17,12.79,12.99,
EE,width_footprint,2.84,29.46,12.92,12.71,3.02,12.81,13.02,12.62,12.81,
EE,roof_ridge_height,1.68,17.79,8.57,8.71,2.13,8.5,8.65,8.62,8.78,
EE,eaves_height,1.34,14.03,5.35,5.17,1.7,5.29,5.41,5.08,5.28,
EE,number_roof_surfaces,1,88,4.22,4.0,3.14,4.11,4.33,4.0,4.0,
EE,roof_slope,0.0,90.0,39.89,46.87,35.29,37.31,42.46,43.69,49.48,
EE,roof_type,,,,,,,,,,3100: 58.43%
EE,roof_type,,,,,,,,,,3200: 19.64%
EE,roof_type,,,,,,,,,,1000: 9.39%
EE,roof_type,,,,,,,,,,3500: 4.38%
EE,roof_type,,,,,,,,,,5000: 2.89%
EE,roof_type,,,,,,,,,,3300: 2.35%
EE,roof_type,,,,,,,,,,3400: 1.65%
EE,roof_type,,,,,,,,,,2100: 1.21%
EE,roof_type,,,,,,,,,,3900: 0.06%
EE,development_type_code,,,,,,,,,,A12: 72.64%
EE,development_type_code,,,,,,,,,,A13: 21.86%
EE,development_type_code,,,,,,,,,,A11: 2.47%
EE,development_type_code,,,,,,,,,,B12: 1.67%
EE,development_type_code,,,,,,,,,,C11: 0.7%
EE,development_type_code,,,,,,,,,,B11: 0.53%
EE,development_type_code,,,,,,,,,,B13: 0.13%
ER,building_footprint,11.51,1005.13,131.05,118.96,64.81,128.63,133.47,117.28,121.17,
ER,storeys_above_ground,1,4,1.88,2.0,0.45,1.87,1.9,2.0,2.0,
ER,length_footprint,1.92,36.41,11.37,11.09,2.69,11.27,11.47,10.98,11.19,
ER,width_footprint,3.65,29.98,11.12,10.83,2.75,11.02,11.22,10.72,10.91,
ER,roof_ridge_height,1.23,16.27,9.42,9.76,2.2,9.33,9.5,9.7,9.83,
ER,eaves_height,0.94,13.65,5.72,5.97,1.76,5.65,5.78,5.93,6.02,
ER,number_roof_surfaces,1,22,3.29,3.0,1.84,3.22,3.36,3.0,3.0,
ER,roof_slope,0.0,90.0,39.15,45.75,35.78,37.13,41.17,41.79,47.82,
ER,roof_type,,,,,,,,,,3100: 66.57%
ER,roof_type,,,,,,,,,,3200: 17.59%
ER,roof_type,,,,,,,,,,1000: 9.96%
ER,roof_type,,,,,,,,,,3300: 2.14%
ER,roof_type,,,,,,,,,,5000: 1.34%
ER,roof_type,,,,,,,,,,2100: 1.09%
ER,roof_type,,,,,,,,,,3400: 0.91%
ER,roof_type,,,,,,,,,,3500: 0.36%
ER,roof_type,,,,,,,,,,2500: 0.04%
ER,development_type_code,,,,,,,,,,A12: 46.94%
ER,development_type_code,,,,,,,,,,B11: 38.24%
ER,development_type_code,,,,,,,,,,A13: 8.3%
ER,development_type_code,,,,,,,,,,B12: 3.96%
ER,development_type_code,,,,,,,,,,C11: 1.07%
ER,development_type_code,,,,,,,,,,A11: 0.85%
ER,development_type_code,,,,,,,,,,C12: 0.37%
ER,development_type_code,,,,,,,,,,B13: 0.26%
HH,building_footprint,21.87,1145.02,216.59,183.75,153.7,198.03,235.14,164.18,203.73,
HH,storeys_above_ground,1,5,2.02,2.0,0.59,1.95,2.09,2.0,2.0,
HH,length_footprint,4.45,36.74,14.0,13.66,5.22,13.37,14.63,12.61,14.57,
HH,width_footprint,4.75,45.55,14.46,13.68,5.38,13.81,15.11,13.21,14.48,
HH,roof_ridge_height,2.54,24.66,7.8,7.07,3.19,7.41,8.18,6.84,7.35,
HH,eaves_height,2.36,20.99,6.78,6.39,2.67,6.46,7.1,6.25,6.56,
HH,number_roof_surfaces,1,21,2.03,1.0,2.36,1.74,2.31,1.0,1.0,
HH,roof_slope,0.0,90.0,27.88,0.0,32.63,22.34,33.41,0.0,36.93,
HH,roof_type,,,,,,,,,,1000: 57.52%
HH,roof_type,,,,,,,,,,2100: 14.29%
HH,roof_type,,,,,,,,,,3100: 10.53%
HH,roof_type,,,,,,,,,,5000: 6.77%
HH,roof_type,,,,,,,,,,3400: 5.64%
HH,roof_type,,,,,,,,,,3200: 4.89%
HH,roof_type,,,,,,,,,,3300: 0.38%
HH,development_type_code,,,,,,,,,,A13: 70.04%
HH,development_type_code,,,,,,,,,,C11: 16.73%
HH,development_type_code,,,,,,,,,,A12: 8.17%
HH,development_type_code,,,,,,,,,,B12: 3.5%
HH,development_type_code,,,,,,,,,,A11: 1.56%
LW,building_footprint,12.2,1804.74,283.04,215.18,229.48,263.96,302.12,200.83,228.48,
LW,storeys_above_ground,1,4,1.93,2.0,0.38,1.9,1.97,2.0,2.0,
LW,length_footprint,3.27,60.04,15.77,14.83,6.5,15.23,16.31,14.12,15.31,
LW,width_footprint,3.47,42.37,16.34,15.05,7.13,15.75,16.93,14.41,15.68,
LW,roof_ridge_height,2.14,20.39,9.04,9.09,2.08,8.86,9.21,8.91,9.27,
LW,eaves_height,2.14,12.71,5.69,5.67,1.53,5.57,5.82,5.53,5.76,
LW,number_roof_surfaces,1,38,4.27,3.0,4.22,3.92,4.62,3.0,3.0,
LW,roof_slope,0.0,90.0,37.12,42.82,36.18,32.3,41.94,0.0,48.95,
LW,roof_type,,,,,,,,,,3100: 76.52%
LW,roof_type,,,,,,,,,,3300: 9.68%
LW,roof_type,,,,,,,,,,1000: 4.48%
LW,roof_type,,,,,,,,,,3200: 4.12%
LW,roof_type,,,,,,,,,,5000: 3.41%
LW,roof_type,,,,,,,,,,2100: 1.25%
LW,roof_type,,,,,,,,,,3400: 0.36%
LW,roof_type,,,,,,,,,,3500: 0.18%
LW,development_type_code,,,,,,,,,,A11: 56.5%
LW,development_type_code,,,,,,,,,,A12: 21.75%
LW,development_type_code,,,,,,,,,,A13: 15.92%
LW,development_type_code,,,,,,,,,,B12: 2.39%
LW,development_type_code,,,,,,,,,,C11: 1.86%
LW,development_type_code,,,,,,,,,,B11: 1.59%
LWS,building_footprint,21.71,1804.74,375.61,299.16,266.78,342.17,409.04,260.5,336.94,
LWS,storeys_above_ground,1,4,1.98,2.0,0.39,1.93,2.02,2.0,2.0,
LWS,length_footprint,3.36,60.04,18.09,17.21,7.06,17.2,18.97,16.4,18.26,
LWS,width_footprint,4.37,42.37,19.24,17.76,7.77,18.27,20.22,17.2,19.02,
LWS,roof_ridge_height,2.61,20.39,9.36,9.5,2.2,9.08,9.63,9.27,9.69,
LWS,eaves_height,2.15,12.71,5.77,5.74,1.5,5.58,5.96,5.61,5.87,
LWS,number_roof_surfaces,1,38,4.39,3.0,4.33,3.85,4.93,2.0,4.0,
LWS,roof_slope,0.0,90.0,36.86,42.82,36.41,29.88,43.84,0.0,51.98,
